ID	Fare	Source	Destination	Status	Departure	Arrival	Type	Fee	Experts	Flyer
28775	$1,286	Washington, IAD	Khabarovsk, KHV	Closed	14-Oct-12	23-Oct-12	Round-Trip	Finder's Fee $49	3 Experts	David1834
28784	$1,530	Johannesburg, JNB	Perth, PER	Closed	08-Dec-12	(multi-city)	Multi-City	Finder's Fee $49	7 Experts	Rick98
28785	$335	Santa Ana, SNA	Calgary, YYC	Closed	04-Nov-12	07-Nov-12	Round-Trip	Finder's Fee $39	5 Experts	Vlaskovits
28788	$692	Melbourne, MEL	Kuala Lumpur, KUL	Closed	11-Nov-12	17-Nov-12	Round-Trip	Finder's Fee $67	8 Experts	Justin_pgl
28792	$307	Toronto, ALL	New York, NYC	Closed	27-Sep-12	(one-way)	One-Way	Finder's Fee $29	3 Experts	Tedlee10
28796	$1,397	Toronto, ALL	Johannesburg, ALL	Closed	26-Sep-12	04-Jun-13	Round-Trip	Finder's Fee $49	3 Experts	Us33
28802	$716	Toronto, YYZ	La Paz, LPB	Closed	28-Sep-12	(one-way)	One-Way	Finder's Fee $29	6 Experts	Jeremypoteck
28804	$1,002	Valparaiso, VPS	Tokyo, TYO	Closed	01-Nov-12	(one-way)	One-Way	Finder's Fee $79	3 Experts	Bebesecret
28807	$581	Buenos Aires, ALL	Medellín, MDE	Closed	24-Oct-12	(one-way)	One-Way	Finder's Fee $39	4 Experts	Skapul
28811	$242	Sydney, SYD	Gold Coast, OOL	Closed	23-Sep-12	(one-way)	One-Way	Finder's Fee $59	3 Experts	Nickhac
28818	$958	San Francisco, SFO	Shanghai, ALL	Closed	07-Nov-12	(multi-city)	Multi-City	Finder's Fee $34	6 Experts	Ajayumehta
28830	$1,108	Norfolk, ORF	Florianópolis, FLN	Closed	02-Nov-12	(one-way)	One-Way	Finder's Fee $44	4 Experts	Clazinski
28841	$1,295	London, LON	Cape Town, CPT	Closed	21-Dec-12	(one-way)	One-Way	Finder's Fee $59	5 Experts	Digijoe
28848	$1,697	Melbourne, MEL	Amsterdam, AMS	Closed	24-Apr-13	(one-way)	One-Way	Finder's Fee $34	5 Experts	Jan-53
28868	$1,563	Brisbane, BNE	San Francisco, SFO	Closed	08-Oct-12	(one-way)	One-Way	Finder's Fee $54	2 Experts	Bokane.au
